"Department.Code","Department.Name","SubDept.Code","SubDept.Name","Program.Code","Program.Name","Performance.Measure.Code","Performance.Measure.Name","Unit","Budget","Performance.Measure.Amount"
"94","Transportation","94LVL5","Transportation","9416","Active Transportation","94BIKELANE","Number of Miles of Bike Lanes and Paths in the City",NA,"2017-18 Adopted",899
"94","Transportation","94LVL5","Transportation","9417","Crossing Guard Services","94GUARDS","Number of Guards Assigned",NA,"2017-18 Adopted",450
"2","Aging","02LVL5","Aging","201","Senior Services","02MEALS","Number of Home Delivered and Congregate Meals Provided",NA,"2018-19 Proposed",1341733
"2","Aging","02LVL5","Aging","202","Family Caregiver Services","02CAREGIVER","Number of Participants in Caregiver Information Sessions",NA,"2018-19 Proposed",8490
"2","Aging","02LVL5","Aging","203","Older Workers Program","02OLDERWORKER","Number of Participants in the Older Workers Program",NA,"2018-19 Proposed",112
"6","Animal Services","06LVL5","Animal Services","601","Animal Control and Law Enforcement","06LICENSE","Number of Animal Licenses Sold",NA,"2018-19 Proposed",130000
"6","Animal Services","06LVL5","Animal Services","602","Shelter Operations and Animal Care","06LIVESAVE","Animal Live/Save Rate","percentage","2018-19 Proposed",85
"6","Animal Services","06LVL5","Animal Services","607","Animal Medical Services","06SPAYNEUTER","Number of Spay/Neuter Surgeries",NA,"2018-19 Proposed",1500
"6","Animal Services","06LVL5","Animal Services","609","Community Engagement and Partnerships","06VOLUNTEER","Number of Volunteer Hours",NA,"2018-19 Proposed",80000
"8","Building and Safety","08LVL5","Building and Safety","811","Structural Plan Checking","08PLANCHECK","Percent of Plan Check Jobs Completed in 15 Days",NA,"2018-19 Proposed",85
"8","Building and Safety","08LVL5","Building and Safety","812","Green Buildings and Electrical and Mechanical Engineering","08MECHPLANCK","Percent of Mechanical Plan Check Jobs Completed in 15 Days",NA,"2018-19 Proposed",92
"8","Building and Safety","08LVL5","Building and Safety","813","Grading Reports and Inspection","08GRADEREPORT","Percent of New Grading Reports Completed in 30 Days",NA,"2018-19 Proposed",100
"8","Building and Safety","08LVL5","Building and Safety","814","Residential Inspection","08RESINSPECT","Percent of Residential Inspections Completed in 24 Hours",NA,"2018-19 Proposed",90
"8","Building and Safety","08LVL5","Building and Safety","815","Commercial Inspection and Licensing","08COMMINSPECT","Commercial Building Inspections Completed in 24 Hours","percentage","2018-19 Proposed",98
"8","Building and Safety","08LVL5","Building and Safety","816","Development Services Case Management","08CASEMGMT","Percent of Case Management Projects Contacted in 5 Days",NA,"2018-19 Proposed",100
"8","Building and Safety","08LVL5","Building and Safety","817","Residential and Commercial Code Enforcement","08COMPLAINT","Percent of Code Enforcement Complaints Closed in 60 Days",NA,"2018-19 Proposed",65
"8","Building and Safety","08LVL5","Building and Safety","818","Conservation of Existing Structures and Mechanical Devices","08RESPROPERTY","Percent of Residential Property Reports Completed in 15 Days",NA,"2018-19 Proposed",100
"10","City Administrative Officer","10LVL5","City Administrative Officer","1001","Budget Formulation and Control","10RF%GF","Reserve Fund as a Percent of the Adopted General Fund Budget",NA,"2018-19 Proposed",5.56
"10","City Administrative Officer","10LVL5","City Administrative Officer","1002","Management Services","10IFAPPS","Percent of Submitted Innovation Fund Applications Reviewed",NA,"2018-19 Proposed",100
"10","City Administrative Officer","10LVL5","City Administrative Officer","1003","Employee Relations Compensation and Benefits","10PAYGRADE","Average Length of Time to Review Pay Grade Advancements","in days","2018-19 Proposed",45
"10","City Administrative Officer","10LVL5","City Administrative Officer","1004","Risk Management","10INSDOCSSUBMIT","Percent of Contractors Self-Submitting Ins Docs - Track4LA",NA,"2018-19 Proposed",95
"10","City Administrative Officer","10LVL5","City Administrative Officer","1006","Debt Management","10DEBTPERCENT","Approved Debt as a Percent of Special Taxes and GF Revenues",NA,"2018-19 Proposed",6.23
"10","City Administrative Officer","10LVL5","City Administrative Officer","1007","Asset Management and Capital Projects","10GF%CIP","Percent of GF Budget Appropriated for Capital Improvements",NA,"2018-19 Proposed",1.62
"10","City Administrative Officer","10LVL5","City Administrative Officer","1008","Proprietary Analysis","10CONREVTIME","Average Length of Time to Complete Contract Review","in days","2018-19 Proposed",40
"13","Cannabis Regulation","13LVL5","Cannabis Regulation","1301","Regulations and Licensing","13CANNABISLICENSES","Number of Cannabis Businesses Licensed",NA,"2018-19 Proposed",500
"14","City Clerk","14LVL5","City Clerk","1401","Council and Public Services","14CITYRECORDS","Number of City Records Viewed",NA,"2018-19 Proposed",2300000
"14","City Clerk","14LVL5","City Clerk","1402","Administration of City Elections","14VOTERAWARE","Number of Public Forums Held to Increase Voter Awareness",NA,"2018-19 Proposed",25
"14","City Clerk","14LVL5","City Clerk","1405","Records Management","14ARCHIVAL","Number of Archival Documents and Records Digitized on Demand",NA,"2018-19 Proposed",600
"14","City Clerk","14LVL5","City Clerk","1406","Special Assessments","14ANNUALPLAN","Number of Annual Planning Reports Submitted by March 1",NA,"2018-19 Proposed",25
"14","City Clerk","14LVL5","City Clerk","1407","Mayor and City Council Administrative Support","14ACCOUNTING","Number of Accounting Documents Processed",NA,"2018-19 Proposed",16000
"17","Ethics Commission","17LVL5","City Ethics Commission","1701","Governmental Ethics","17DISCLOSURE","Percent of Lobbying Disclosure Statements Filed on Time",NA,"2018-19 Proposed",99
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2202","Adult Workforce Development","22ADULTJOBS","Number of WIA-Funded Adults Placed in Jobs",NA,"2018-19 Proposed",12500
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2205","Economic Development","22NEWJOBS","Number of New Jobs Created Through Business Source Centers",NA,"2018-19 Proposed",1500
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2207","Youth Workforce Development","22HIRELA","Number of HireLA's Youth Placed in Employment",NA,"2018-19 Proposed",18500
"26","Controller","26LVL5","Controller","2601","Accounting and Disbursement of City Funds","26DISBURSEMENTS","Paymaster Disbursements",NA,"2018-19 Proposed",350000
"26","Controller","26LVL5","Controller","2602","Financial Reporting of City and Grant Funds","26FINREPORTS","Percent of Financial Reports Submitted On Time",NA,"2018-19 Proposed",100
"26","Controller","26LVL5","Controller","2603","Audits of City Departments and Programs","26AUDITREPORTS","Number of Audit Reports",NA,"2018-19 Proposed",15
"26","Controller","26LVL5","Controller","2604","Support of the City's Financial Systems","26FMSDOCUMENTS","Number of FMS Documents Processed Annually",NA,"2018-19 Proposed",NA
"26","Controller","26LVL5","Controller","2605","Citywide Payroll Administration","26PAYSUPP","Percent of PaySR Problem Tickets Resolved",NA,"2018-19 Proposed",80
"30","Cultural Affairs","30LVL5","Cultural Affairs","3001","Community Arts","30ARTFACILITIES","Number of Individuals Served by Arts Facilities and Centers",NA,"2018-19 Proposed",425000
"30","Cultural Affairs","30LVL5","Cultural Affairs","3002","Marketing and Development","30LEVERAGED","Donations Received as a Percent of DCA Operating Budget",NA,"2018-19 Proposed",4.5
"30","Cultural Affairs","30LVL5","Cultural Affairs","3003","Public Art","30ARTPROJECTS","Number of Public Art Projects Completed During the Year",NA,"2018-19 Proposed",18
"30","Cultural Affairs","30LVL5","Cultural Affairs","3004","Grants Program","30RESIDENTS","Number of Los Angeles Residents and Visitors Served","in millions","2018-19 Proposed",3
"32","Information Technology Agency","32LVL5","Information Technology Agency","3201","Public Safety Systems Development and Support","32PSSYSTEMS","Percent of System Availability for Public Safety Systems",NA,"2018-19 Proposed",99.99
"32","Information Technology Agency","32LVL5","Information Technology Agency","3202","Public Safety Communications","32PSRADIO","Percent of System Availability for LAFD & LAPD Radio Systems",NA,"2018-19 Proposed",100
"32","Information Technology Agency","32LVL5","Information Technology Agency","3203","Customer Engagement","32311CALLS","Percent of 3-1-1 Calls Answered",NA,"2018-19 Proposed",90
"32","Information Technology Agency","32LVL5","Information Technology Agency","3206","Office Systems Support","32EMAIL","Percent of Email System Availability",NA,"2018-19 Proposed",99
"32","Information Technology Agency","32LVL5","Information Technology Agency","3207","Systems Development and Support","32LATAX","Percent of LATAX System Availability in Tax Renewal Season",NA,"2018-19 Proposed",100
"32","Information Technology Agency","32LVL5","Information Technology Agency","3208","Enterprise and Distributed Systems and Operation","32DATACENTER","Percent of Data Center Servers Virtualized",NA,"2018-19 Proposed",90
"32","Information Technology Agency","32LVL5","Information Technology Agency","3209","Network Engineering and Operations","32VOICE","Percent of Voice, Call Center, & Video Systems Availability",NA,"2018-19 Proposed",100
"32","Information Technology Agency","32LVL5","Information Technology Agency","3210","Data Engineering and Operations","32NETWORK","Percent of Network Availability",NA,"2018-19 Proposed",100
"32","Information Technology Agency","32LVL5","Information Technology Agency","3211","Business Applications and Web Services","32WEBSITE","Percent of LACity.org Website Availability",NA,"2018-19 Proposed",100
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3301","History and Museums","33ELPMUSVIS","Number of Individual Visitors",NA,"2018-19 Proposed",NA
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3302","Marketing and Events","33ELPATTEND","Number of Cultural, Traditional, and Informational Attendees",NA,"2018-19 Proposed",550000
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3348","Property Management","33PERCENTWO","Percent of Work Orders Completed",NA,"2018-19 Proposed",85
"35","Emergency Management","35LVL5","Emergency Management","3501","Emergency Management","35COMMUNITYPLAN","Number of Neighborhood/Community Plans Prepared",NA,"2018-19 Proposed",100
"35","Emergency Management","35LVL5","Emergency Management","3501","Emergency Management","35NOTIFYLA","Number of New Subscribers Registered for NotifyLA",NA,"2018-19 Proposed",30000
"36","Employee Relations Board","36LVL5","Employee Relations Board","3601","Employee Relations","36UERP","Number of UERP Related Filings",NA,"2018-19 Proposed",140
"38","Fire","38LVL5","Fire","3801","Arson Investigation and Counter-Terrorism","38INVESTIGATION","Percentage Convictions in Arson Cases",NA,"2018-19 Proposed",85
"38","Fire","38LVL5","Fire","3803","Fire Suppression","38FIRETRAVEL","Average Travel Time to Fire Incident","in minutes.seconds","2018-19 Proposed",4
"38","Fire","38LVL5","Fire","3803","Fire Suppression","38FIRETURNOUT","Average Time to Leave Station after Notified - Fire Incident","in minutes.seconds","2018-19 Proposed",1
"38","Fire","38LVL5","Fire","3804","Metropolitan Fire Communications","38DISPATCH","Call Processing Time","in minutes","2018-19 Proposed",1
"38","Fire","38LVL5","Fire","3805","Hazardous Materials Enforcement","38REVENUE","Hazardous Materials Enforcement Revenue Collected","in millions","2018-19 Proposed",7
"38","Fire","38LVL5","Fire","3806","Fire Prevention","38INSPECTION","Percent of Construction Inspections Completed in 72 hours",NA,"2018-19 Proposed",95
"38","Fire","38LVL5","Fire","3808","Emergency Medical Service","38EMSTRAVEL","Average Travel Time to EMS Incident","in minutes.seconds","2018-19 Proposed",4
"38","Fire","38LVL5","Fire","3808","Emergency Medical Service","38EMSTURNOUT","Average Time to Leave Station after Notified - EMS Incident","in minutes.seconds","2018-19 Proposed",1
"38","Fire","38LVL5","Fire","3847","Training","38TRAINING","Recruit Class Retention Rate","percentage","2018-19 Proposed",80
"38","Fire","38LVL5","Fire","3848","Procurement, Maintenance and Repair","38FLEET","Fleet Availability Rate","percentage","2018-19 Proposed",84
"39","Finance","39LVL5","Finance","3901","Revenue Management","39COLLECTION","Percent of Delinquent Accounts Collected",NA,"2018-19 Proposed",11.6
"39","Finance","39LVL5","Finance","3902","Treasury Services","39TREASURYNEW","Percent of Treasury Requests Responded to in One Day",NA,"2018-19 Proposed",95
"39","Finance","39LVL5","Finance","3905","LATAX System Support","39LATAXWEB","Percent of Customer Transactions Conducted on Website",NA,"2018-19 Proposed",62
"39","Finance","39LVL5","Finance","3906","Customer Support","39CALLSANSWERED","Average Speed of Calls Answered (minutes)",NA,"2018-19 Proposed",540
"39","Finance","39LVL5","Finance","3908","Investment","39INVESTVAR","Variance Between Investment Return and Industry Benchmarks","percentage","2018-19 Proposed",0.2
"39","Finance","39LVL5","Finance","3909","Tax and Permit","39LIABILITY","Percent of Audits with Liability Adjustments",NA,"2018-19 Proposed",72
"40","General Services","40LVL5","General Services","4001","Custodial Services","40CLEAN","Percent of Municipal Facilities Cleaned Daily",NA,"2018-19 Proposed",100
"40","General Services","40LVL5","General Services","4002","Building Maintenance","40ENERGYAUDITS","Number of Energy Audits Completed",NA,"2018-19 Proposed",20
"40","General Services","40LVL5","General Services","4003","Construction Forces","40CONSTESTIMATE","Construction Projects Completed within Original Estimate","Percentage","2018-19 Proposed",90
"40","General Services","40LVL5","General Services","4004","Real Estate Services","40ASSETMGMT","Asset Management System Implementation Tasks Completed","Percentage","2018-19 Proposed",100
